ts	cpu_cores_busy	mem_used_kib	mem_avail_kib	swap_used_kib	load1	docker
2026-09-06T14:13:07	0.38	3497992	28209712	36	2.18	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=0.03%/693.9MiB / 8GiB;
2026-09-06T14:13:10	0.12	3472860	28234844	36	2.18	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=0.03%/693.6MiB / 8GiB;
2026-09-06T14:13:11	0.45	3039932	28667772	36	2.01	
2026-09-06T14:13:12	1.75	2963196	28744508	36	2.01	
2026-09-06T14:13:13	1.34	2624636	29083068	36	2.01	
2026-09-06T14:13:14	0.55	2617212	29090492	36	1.85	
2026-09-06T14:13:16	0.09	2604616	29103088	36	1.85	
2026-09-06T14:13:17	0.24	2593596	29114108	36	1.85	
2026-09-06T14:13:18	0.10	2583364	29124340	36	1.85	
2026-09-06T14:13:19	0.10	2594824	29112880	36	1.85	
2026-09-06T14:13:20	0.09	2591876	29115828	36	1.70	
2026-09-06T14:13:21	0.10	2585040	29122664	36	1.70	
2026-09-06T14:13:23	0.09	2576912	29130792	36	1.70	
2026-09-06T14:13:24	0.10	2576948	29130756	36	1.70	
2026-09-06T14:13:25	0.10	2574040	29133664	36	1.56	
2026-09-06T14:13:26	0.09	2570840	29136864	36	1.56	
2026-09-06T14:13:27	0.08	2567512	29140192	36	1.56	
2026-09-06T14:13:28	0.09	2570256	29137448	36	1.56	
2026-09-06T14:13:29	0.10	2560816	29146888	36	1.44	
2026-09-06T14:13:31	0.09	2562192	29145512	36	1.44	
2026-09-06T14:13:32	0.10	2560924	29146780	36	1.44	
2026-09-06T14:13:33	0.09	2566468	29141236	36	1.44	
2026-09-06T14:13:34	0.10	2557804	29149900	36	1.44	
2026-09-06T14:13:35	0.10	2561096	29146608	36	1.32	
2026-09-06T14:13:36	0.09	2565208	29142496	36	1.32	
2026-09-06T14:13:37	0.14	2570304	29137400	36	1.32	
2026-09-06T14:13:39	0.10	2563232	29144472	36	1.32	
2026-09-06T14:13:40	0.10	2566108	29141596	36	1.22	
2026-09-06T14:13:41	0.09	2560348	29147356	36	1.22	
2026-09-06T14:13:42	0.14	2554708	29152996	36	1.22	
2026-09-06T14:13:43	0.10	2565072	29142632	36	1.22	
2026-09-06T14:13:44	0.10	2561872	29145832	36	1.12	
2026-09-06T14:13:46	0.09	2564056	29143648	36	1.12	
2026-09-06T14:13:47	0.16	2563128	29144576	36	1.12	
